Neurosurgeon,ABNS Certificate,RFP in CNS Endovascular Surgery,RFP in Neurological Critical Care,RFP in Pediatric Neurological Surgery,Certified,Lifetime
"Giridharan, nisha",,,,,,
"Gonzalez, Nestor",  11/14/2013 - 12/31/2024,"['\xa0\xa003/15/2021'], ['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Dickinson, Lawrence",  05/01/1998,,,,,Not Required To Participate
"Dosselman, Luke",,,,,,
"Drerup, Lawrence",  11/01/1993,,,,,Not Required To Participate
"Benveniste, Ronald","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Ber, Roee",,,,,,
"Berkman, Richard",  05/01/1998,,,,,
"Callahan, Katherine",,,,,,
"Carpenter, Kennedy",,,,,,
"Carroll, Kate",,,,,,
"Balagura, Saul",  05/01/1983,,,,,Not Required To Participate
"Bandt, S. Kathleen",  11/01/2020 - 12/31/2030,,,,Participating,
"Alshareef, Mohammed",,,,,,
"Altshuler, Marcelle",,,,,,
"Amans, Matthew",,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,,
"Canavati, Isa",  09/01/1988,,,,,
"CARALOPOULOS, ILIAS",  11/12/2021 - 12/31/2031,,,,Participating,
"Chakrabarti, Indro","['\xa0\xa005/21/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Patel, Vishal",,,,,,
"Patel, Vishal",,,,,,
"Pelletier, Valmore",  04/01/1975,,,,,Not Required To Participate
"Hanigan, William",  01/01/1978,,,,,Not Required To Participate
"Harris, William",,,,,,
"Hassaneen Mostafa, Wael",  11/13/2021 - 12/31/2031,,,,Participating,
"Dumont, Travis",  11/09/2015 - 12/31/2025,,,,Participating,
"Eads, Todd",  11/12/2014 - 12/31/2024,,,,Participating,
"Cotton, Patrick",,,,,,
"Croissant, Paul",  10/01/1972,,,,,Not Required To Participate
"Cruz-Gordillo, Peter",,,,,,
"Grivas, Nicholas",  01/01/1976,,,,,Not Required To Participate
"Gross, Naina","['\xa0\xa011/13/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,  06/20/2020,Participating,
"Guley, Natalie",,,,,,
"Duarte, Luis",  05/01/1996,,,,,Not Required To Participate
"Ehlers, Landon",,,,,,
"Elijovich, Lucus",,,,,,
"Bernardi, Robert",  11/01/1996,,,,,Not Required To Participate
"Bhardwaj, Ratan",,,,,,
"Bhasin, Rohit",  11/12/2014 - 12/31/2024,,,,,
"Carter, Kawanaa",  10/30/2020 - 02/13/2023,,,,,
"Casey, Kenneth",  11/01/1990,,,,,Not Required To Participate
"Barakat, Safwan",  09/01/1979,,,,,Not Required To Participate
"Barber, Sean",  11/05/2022 - 12/31/2032,,,,Participating,
"Barnett, Samuel","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Amaral, Michael",  11/01/1990,,,,,Not Required To Participate
"Amarante, Matthew",,,,,,
"Ammerman, Matthew","['\xa0\xa011/13/2013 - 12/31/2023'], ['\xa0\xa001/01/2024 - 12/31/2033']",,,,Participating,
"Chambi-Venero, Israel",  05/01/1992,,,,,Not Required To Participate
"Chang, itsmeericchang",  12/31/2018 - 12/31/2021,,,,,
"Charcos, Iris",,,,,,
"Perry, Victor",  11/14/2013 - 05/16/2022,,,,,
"Prabhu, Vikram","['\xa0\xa005/20/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Rao, Vaishnavi",,,,,,
"Himango, William",  01/01/1982,,,,,Not Required To Participate
"Hoffman, William",  09/01/1980,,,,,Not Required To Participate
"Hoffmeister, William",  11/01/1966,,,,,Not Required To Participate
"Eastin, Timothy",,,,,,
"Ejikeme, Tiffany",,,,,,
"El Ahmadieh, Tarek",,,,,,
"D'Souza, Preston",,,,,,
"Das, Paramita",  05/12/2023 - 12/31/2033,,,,Participating,
"Davis, Paul",  11/01/1998,,,,,Not Required To Participate
"Gupta, Nalin","['\xa0\xa005/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Han, Nathan",,,,,,
"Evans, Linton",  11/13/2021 - 12/31/2031,,,,Participating,
"Feldman, Lisa",  11/11/2023 - 12/31/2033,,,,Participating,
"Fernandez, Luis",,,,,,
"Bina, Robert",,,,,,
"Bindal, Rajesh","['\xa0\xa011/10/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Birkenfeld, Ronald",  11/01/1966,,,,,Not Required To Participate
"Chaichana, Kaisorn",  11/05/2017 - 12/31/2027,,,,Participating,
"Chamberlin, Kelly",,,,,,
"Chandler, Kym",,,,,,
"Barnwell, Stanley",  05/01/1995,,,,,Not Required To Participate
"Barrer, Steven",  09/01/1984,,,,,Not Required To Participate
"Baxter, Silvia",  11/13/2021 - 12/31/2031,,,,Participating,
"Ammirati, Mario",  11/01/1992,,,,,Not Required To Participate
"Anderson, Mark",  09/01/1983,,,,,Not Required To Participate
"Ciric, Ivan",  11/01/1969,,,,,Not Required To Participate
"Connolly, Ian",,,,,,
"DeCastro, Igor","['\xa0\xa005/07/2014 - 05/16/2022'], ['\xa0\xa004/14/2023 - 12/31/2033']",,,,Participating,
"Rao, Vikas",  05/08/2021 - 12/31/2031,,,,Participating,
"Ravindra, Vijay",  11/13/2021 - 12/31/2031,,,  12/07/2021,Participating,
"Recinos, Violette",  11/13/2014 - 12/31/2024,,,,Participating,
"Hollowell, Weems",  11/01/1969,,,,,Not Required To Participate
"Hsu, Wesley",  11/03/2018 - 12/31/2028,,,,Participating,
"Hudgins, W.",  10/01/1972,,,,,Not Required To Participate
"Elarjani, Turki",,,,,,
"Elder, Theresa",,,,,,
"Eller, Theodore",  04/01/1981,,,,,Not Required To Participate
"Deaton, Philip",  12/01/1976,,,,,Not Required To Participate
"Dempsey, Peter",  11/01/1995,,,,Participating,
"Dernbach, Paul",  05/01/1990,,,,,Not Required To Participate
"Haranhalli, Neil",  11/04/2022 - 12/31/2032,,,,Participating,
"Haynes, Neal",  04/20/2016 - 12/31/2026,,,,,
"Herial, Nabeel",,"['\xa0\xa001/02/2020'], ['\xa0\xa001/01/2021']",,,,
"Fishman, Larry",  05/01/1993,,,,,Not Required To Participate
"Fitzgerald, Lynn","['\xa0\xa011/19/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2023'], ['\xa0\xa001/01/2024 - 12/31/2033']",,,,,
"Bishop, Randolph","['\xa0\xa011/01/2000 - 12/31/2010'], ['\xa0\xa001/01/2011 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Blaylock, Russell",  01/01/1980,,,,,Not Required To Participate
"Blue, Rachel",,,,,,
"Chang, Ki-Eun",,,,,,
"Chao, Kevin",  05/09/2017 - 12/31/2027,,,,Participating,
"Chapple, Kyle",  05/15/2013 - 12/31/2024,,,,Participating,
"Bazarek, Stanley",,,,,,
"Beer, Steven","['\xa0\xa011/12/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Bell, Scott",  11/02/2019 - 12/31/2029,,,,Participating,
"Anderson, Matthew",,,,,,
"Andrews, Mason",  11/04/2017 - 12/31/2027,,,,Participating,
"Denton, Ira",  05/01/1974,,,,,Not Required To Participate
"Dorward, Ian",  05/05/2018 - 12/31/2028,,,,Participating,
"Dunn, Ian",  05/15/2013 - 12/31/2024,,,,Participating,
"Reddy, Vamsi",,,,,,
"Rossi, Vincent",,,,,,
"Roy, Vance",  11/01/1972,,,,,Not Required To Participate
"Huff, Wei",  05/13/2023 - 12/31/2033,,,,Participating,
"Humphries, William",  10/30/2020 - 12/31/2030,,,,Participating,
"Huneycutt, William","['\xa0\xa005/26/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Ellis, Thomas","['\xa0\xa011/01/1999 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Falloon, Thomas","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Feuerman, Tony",  05/01/1994,,,,,Not Required To Participate
"Deshmukh, Praveen","['\xa0\xa005/30/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Detwiler, Paul","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Hooshangi, Nossratollah",  05/01/1982,,,,,Not Required To Participate
"Hopkins, Nicholas",,,,,,
"Hussain, Namath",  05/07/2021 - 12/31/2031,,,,Participating,
"Fontenot, Lane",,,,,,
"Foody, Lawrence",  11/01/1994,,,,,Not Required To Participate
"Fornoff, Linden",  11/12/2021 - 12/31/2031,,,  12/07/2021,Participating,
"Bobo, Richard",  05/01/1992,,,,,Not Required To Participate
"Bohinski, Robert","['\xa0\xa005/12/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Chatley, Kevin",,,,,,
"Chen, Kevin",  05/07/2022 - 12/31/2032,,,,Participating,
"Chesney, Kelsi",,,,,,
"Ben-Haim, Sharona",  05/07/2021 - 12/31/2031,,,,Participating,
"Bergin, Stephen Michael",,,,,,
"Berta, Scott",  05/08/2017 - 12/31/2027,,,,Participating,
"Anokwute, Miracle",,,,,,
"Apuzzo, Michael",  01/01/1975,,,,,Not Required To Participate
"Arginteanu, Marc","['\xa0\xa011/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"El Nihum, Ibrahim",  05/01/1994,,,,,Not Required To Participate
"Eli, Ilyas",,,,,,
"Runnels, Vincent",  04/01/1978,,,,,Not Required To Participate
"Sabourin, Victor",,,,,,
"Samuels, Victoria",  11/01/1995,,,,,Not Required To Participate
"Hunter, William","['\xa0\xa011/01/2001 - 12/31/2011'], ['\xa0\xa001/01/2012 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Ibn Essayed, Walid",,,,,,
"Ishida, Warren",  05/01/1984,,,,,Not Required To Participate
"Flanders, Tracy",,,,,,
"Florence, Timothy",,,,,,
"Flynn, Thomas",  05/01/1970,,,,,Not Required To Participate
"Dickey, Phillip",  05/01/1992,,,,,Not Required To Participate
"Dirks, Peter",,,,  12/06/2018,,
"Doherty, Patrick","['\xa0\xa011/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Ibrahim, Naser",,,,,,
"Ironside, Natasha Tireni Louise",,,,,,
"Frazin, Lawrence",  01/01/1980,,,,,Not Required To Participate
"Freeman, Lindsey",,,,,,
"Garland, Lloyd",  11/01/1969,,,,,Not Required To Participate
"Bollo, Robert",  11/12/2014 - 12/31/2024,,,,Participating,
"Bonow, Robert",  05/12/2023 - 12/31/2033,,,,Participating,
"Bortnick, Ronald",  01/01/1966,,,,,Not Required To Participate
"Cheung, K.",  11/01/1991,,,,,
"Chin, Kayla",,,,,,
"Chow, Kwong-Hon (Kevin)",  11/10/2023 - 12/31/2033,,,,Participating,
"Betchen, Simone","['\xa0\xa005/27/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Bhangoo, Sandeep",  11/12/2014 - 12/31/2024,,,,Participating,
"Attiah, Mark",,,,,,
"Austin, Matthew",,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,,
"Avila Guerra, Mauricio",,,,,,
"Falk, Irene",,,,,,
"Fayaz, Imran","['\xa0\xa011/13/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"FAYED, ISLAM",,,,,,
"Schunemann, Victoria",,,,,,
"Shah, Varun",,,,,,
"Silvia, Vaca",,,,,,
"Ishida, Wataru",,,,,,
"Jacobsen, Walter",  05/08/2017 - 12/31/2027,,,,Participating,
"James, Whitney",,,,,,
"Forget, Thomas","['\xa0\xa005/20/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Fountain, Todd",  05/21/2015 - 12/31/2025,,,,Participating,
"Dominguez, Pedro",  04/01/1978,,,,,Not Required To Participate
"Duddleston, Pate",,,,,,
"Dwan, Paul",  11/01/1991,,,,,Not Required To Participate
"Ivey, Natalie",,,,,,
"Jaleel, Naser",  11/13/2021 - 12/31/2031,"['\xa0\xa006/14/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Janjua, Nazli",,  06/09/2022,,,,
"Gaufin, Lynn",  09/01/1977,,,,,Not Required To Participate
"Gilner, Leon",  05/01/1983,,,,,Not Required To Participate
"Bower, Regina",  05/04/2019 - 12/31/2029,,,,Participating,
"Bowman, Robin","['\xa0\xa011/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,  06/11/2019,Participating,
"Cobourn, Kelsey",,,,,,
"Cockroft, Kevin","['\xa0\xa005/01/2001 - 12/31/2011'], ['\xa0\xa001/01/2012 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']","['\xa0\xa001/15/2020'], ['\xa0\xa001/01/2021'], ['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Collins, Kelly",  11/10/2023 - 12/31/2033,,,,Participating,
"Bhatia, Sanjay",  11/13/2013 - 12/31/2024,,,,Participating,
"Bhattacharjee, Sumon","['\xa0\xa005/21/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Bhatti, Sana","['\xa0\xa011/01/1999 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Ayad, Michael",  05/09/2014 - 12/31/2024,,,,Participating,
"Aziz-Sultan, Mohammad","['\xa0\xa011/07/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Babu, Maya",  11/01/2020 - 12/31/2030,,,,Participating,
"Feiz-Erfan, Iman","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Fineman, Igor","['\xa0\xa005/20/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Fleetwood, Ian","['\xa0\xa005/12/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Simpson, Venita",  05/07/2022 - 12/31/2032,,,,Participating,
"Siomin, Vitaly",  11/15/2013 - 12/31/2024,,,,Participating,
"Janese, Woodrow",  12/01/1976,,,,,Not Required To Participate
"Jean, Walter","['\xa0\xa011/12/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Jeong, William",  05/12/2023 - 12/31/2033,,,,Participating,
"Francavilla, Thomas",  11/01/1994,,,,,Not Required To Participate
"Francis, Todd",  05/08/2017 - 12/31/2027,,,,Participating,
"Frank, Thomas",,,,,,
"Eboli, Paula",  11/02/2019 - 12/31/2029,"['\xa0\xa001/01/2022'], ['\xa0\xa006/09/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Ehirim, Princewill","['\xa0\xa011/12/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Jatavallabhula, Narashima",  04/20/2016 - 12/31/2026,,,,Participating,
"Jenkins, N.",  11/01/1998,,,,,Not Required To Participate
"Johnson, Neil",  01/01/1979,,,,,Not Required To Participate
"Gonzalez, Luis","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",  02/13/2023,,,Participating,
"Goumnerova, Liliana",  11/01/1992,,,,,Not Required To Participate
"Boyer, Richard","['\xa0\xa011/12/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Bradley, Robert",  11/01/1993,,,,,Not Required To Participate
"Bram, Richard",,,,,,
"Crabtree-Wilson, Kelli",  05/07/2021 - 12/31/2031,,,,Participating,
"Crandall, Kenneth",  05/07/2021 - 12/31/2031,,,,Participating,
"Bhimireddy, Sujit",,,,,,
"Bianco, Sabatino","['\xa0\xa005/30/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Bick, Sarah",  11/04/2022 - 12/31/2032,,,,Participating,
"Bagan, Merwyn",  04/01/1973,,,,,Not Required To Participate
"Baggenstos, Martin",  04/18/2016 - 12/31/2026,,,,Participating,
"Frid, Ilya",,,,,,
"Fried, Itzhak",  05/01/1995,,,,,Not Required To Participate
"Smart-Abbey, Victor",  09/01/1983,,,,,Not Required To Participate
"Smith, V.",  09/01/1977,,,,,Not Required To Participate
"Jermakowicz, Walter",,,,,,
"Johnson, Walter",  05/01/1998,,,,,Not Required To Participate
"Freeman, Thomas",  11/01/1993,,,,,Not Required To Participate
"Fujii, Tatsuhiro",,,,,,
"Fulbright, Thomas",  05/01/1994,,,,,Not Required To Participate
"Elwood, Patrick",  04/01/1964,,,,,Not Required To Participate
"Entezami, Pouya",,,,,,
"Joshi, Neil Dhiresh",,,,,,
"Kamal, Naveed",,,,,,
"Governale, Lance",  11/11/2015 - 12/31/2025,,,,Participating,
"Gravely, Lance","['\xa0\xa005/30/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Gressot, Loyola",  11/02/2019 - 12/31/2029,,,,Participating,
"Branan, Richard",  05/01/1982,,,,,Not Required To Participate
"Brau, Ricardo",  03/01/1983,,,,,Not Required To Participate
"Crone, Kerry",  05/01/1990,,,,,Not Required To Participate
"Cronk, Katharine",  11/04/2018 - 02/13/2023,,,,,
"Cross, Kevin",,,,,,
"Bidiwala, Shaad","['\xa0\xa011/09/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Biggers, Samuel",  09/01/1970,,,,,Not Required To Participate
"Bindal, Shivani",,,,,,
"Baig, Mirza",  11/07/2016 - 12/31/2026,,,,,
"Bain, Mark",  05/21/2015 - 12/31/2025,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Garonzik, Ira","['\xa0\xa011/12/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Germano, Isabelle",  11/01/1995,,,,,Not Required To Participate
"Goldstein, Ira","['\xa0\xa011/13/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Sonnino, Victor",  05/01/1985,,,,,Not Required To Participate
"Sonntag, Volker",  01/01/1980,,,,,Not Required To Participate
"Srinivasan, Visish",,,,,,
"Johnson, William Chase",,,,,,
"Johnston, William",  01/01/1982,,,,,
"Jones, Wesley",  11/05/2022 - 12/31/2032,,,,Participating,
"Fullagar, Timothy","['\xa0\xa005/01/1999 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Furst, Taylor",,,,,,
"Esce, Phillip","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Fatemi, Parastou",,,,,,
"Fecci, Peter",  11/04/2018 - 12/31/2028,,,,Participating,
"Kandalaft, Nicolas",  01/01/1982,,,,,Not Required To Participate
"Kansal, Narendra",  09/01/1986,,,,,Not Required To Participate
"Karim, Najmaldin",  05/01/1988,,,,,Not Required To Participate
"Guterman, Lee","['\xa0\xa011/01/2001 - 12/31/2011'], ['\xa0\xa001/01/2012 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Not Participating,
"Guyot, Lisa","['\xa0\xa005/12/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Bray, Robert",  11/01/1991,,,,,Not Required To Participate
"Breeze, Robert",  05/01/1991,,,,,Not Required To Participate
"Brennan, Ryan",  05/05/2018 - 12/31/2028,,,,Participating,
"Czerniecka-Foxx, Katarzyna",  05/06/2022 - 12/31/2032,,,,Participating,
"Dafford, Kurtus",  05/21/2015 - 12/31/2025,,,,Participating,
"Danks, Kelly",  05/01/1994,,,,,Not Required To Participate
"Blackburn, Spiros",  04/18/2016 - 12/31/2026,,,,Participating,
"Bloomfield, Stephen","['\xa0\xa011/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 03/31/2022']",,,,,
"Boddu, Srikanth",,  02/13/2023,,,,
"Baldassari, Michael",,,,,,
"Bamimore, Michael",,,,,,
"Banasiak, Magdalena",  04/18/2016 - 03/31/2022,,,,,
"Goodrich, Isaac",  10/01/1973,,,,,Not Required To Participate
"Hardy, Ira",  01/01/1971,,,,,Not Required To Participate
"Heger, Ian","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Sudhakar, Vivek",,,,,,
"Sukul, Vishad",  10/30/2020 - 12/31/2030,,,,Participating,
"Szeder, MD, PhD, Viktor",,  02/13/2023,,,,
"Kaakaji, Wayel","['\xa0\xa011/19/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2024']",,,,Participating,
"Kasoff, Willard",  11/04/2017 - 12/31/2027,,,,Participating,
"Kemp, William",  11/01/1991,,,,,Not Required To Participate
"Gammel, Theresa",,,,,,
"Garner, Timothy",  05/01/1994,,,,,Not Required To Participate
"Garzon-Muvdi, Tomas",  11/13/2021 - 12/31/2031,,,,Participating,
"Fernandez, Patricia",,  06/09/2022,,,,
"Flanigan, Patrick",,,,,,
"Flannagan, Patrick","['\xa0\xa005/26/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Kassell, Neal",  01/01/1980,,,,,Not Required To Participate
"Kazmi, Najam",  11/01/1990,,,,,Not Required To Participate
"Khan, Nickalus",  05/12/2023 - 12/31/2033,,,,Participating,
"Haines, Lynn",  05/01/1979,,,,,Not Required To Participate
"Hammargren, Lonnie",  05/01/1974,,,,,Not Required To Participate
"Hansen, Landon",,,,,,
"Briggs, Robert Grady",,,,,,
"Brightman, Rebecca",  05/01/1994,,,,,Not Required To Participate
"Das, Kaushik","['\xa0\xa011/19/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2024']",,,,Participating,
"De Los Reyes, Kenneth",  11/03/2018 - 12/31/2028,,,,Participating,
"Dlouhy, Kathleen",  05/07/2022 - 12/31/2032,"['\xa0\xa006/09/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Boodin, Stephen",  04/01/1981,,,,,Not Required To Participate
"Boop, Scott Harris",,,,,,
"Borsellino, Samuel","['\xa0\xa011/02/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Banu, Matei",,,,,,
"Baskaya, Mustafa","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Bednar, Martin",  11/01/1997,,,,,Not Required To Participate
"Hussain, Ibrahim",,,,,,
"Johnson, Ian",  05/08/2014 - 02/13/2023,,,,,
"Jusue Torres, Ignacio",,,,,,
"Tabar, Viviane","['\xa0\xa005/12/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Tantuwaya, Vrijesh","['\xa0\xa005/25/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Kemp, William",,,,,,
"Ketcherside, William",  09/01/1989,,,,,Not Required To Participate
"Kim, Wi Jin",,,,,,
"Gennarelli, Thomas",  09/01/1978,,,,,Not Required To Participate
"George, Timothy","['\xa0\xa005/15/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2023']",,,,,
"Gianaris, Thomas",  05/13/2023 - 12/31/2033,,,,Participating,
"Foreman, Paul",  05/07/2021 - 12/31/2031,,,,Participating,
"Forrest, Paul",  01/01/1978,,,,,Not Required To Participate
"Francel, Paul","['\xa0\xa011/01/2001 - 12/31/2011'], ['\xa0\xa001/01/2012 - 12/31/2021']",,,,,
"Kharas, Natasha",,,,,,
"Khattar, Nicolas",,,,,,
"Khoury, Nasri",  09/01/1986,,,,,Not Required To Participate
"Harris, Lewis",  05/01/1998,,,,,Not Required To Participate
"Hartman, Larry",  05/01/1990,,,,,
"He, Le",  05/06/2022 - 12/31/2032,  02/13/2023,,,Participating,
"Briner, Rudy",  05/01/1994,,,,,
"Brisman, Ronald",  10/01/1974,,,,,
"Bristol, Ruth","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,  06/11/2023,Participating,
"Doss, Kimathi",  11/12/2014 - 12/31/2024,,,,Participating,
"Doughty, Kyle","['\xa0\xa011/13/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Ducis, Katrina",  05/07/2021 - 12/31/2031,,,  06/12/2021,Participating,
"Bossert, Sharon",,,,,,
"Boswell, Scott",  11/04/2017 - 12/31/2027,,,,Participating,
"Bowden, Stephen",,,,,,
"Behbahani, Mandana",,,,,,
"Bellew, Michael","['\xa0\xa011/07/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Belza, Mark",  11/01/1996,,,,,Not Required To Participate
"Kalfas, Iain",  05/01/1992,,,,,
"Kaminsky, Ian",,"['\xa0\xa006/09/2022'], ['\xa0\xa001/01/2023']",,,,
"Tashjian, Vartan",  11/13/2014 - 12/31/2024,,,,Participating,
"Thakur, Vishal",,,,,,
"Kim, Won",  11/01/2020 - 12/31/2030,,,,Participating,
"King, Wesley",  05/01/1993,,,,,Not Required To Participate
"Kinlaw, W.",  10/01/1973,,,,,Not Required To Participate
"Giles, Tyler",,,,,,
"Girolamo, Taylor",,,,,,
"Gist, Taylor",  05/04/2019 - 12/31/2029,,,,Participating,
"Francis, Paul","['\xa0\xa005/01/2000 - 12/31/2010'], ['\xa0\xa001/01/2011 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Friedman, Phillip",  01/01/1980,,,,,Not Required To Participate
"Kim, Nora",,,,,,
"King-Logsdon, Nevra","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Helland, Logan",,,,,,
"Hellbusch, Leslie",  09/01/1979,,,,,Not Required To Participate
"Hirsh, Leonard",  01/01/1978,,,,,Not Required To Participate
"Broderick, Richard","['\xa0\xa011/19/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2024']",,,,Participating,
"Brodner, Robert",  05/01/1984,,,,,Not Required To Participate
"Brownlee, Richard",  11/01/2002 - 12/31/2012,,,,,
"Duffy, Kent",  05/01/1993,,,,,Not Required To Participate
"Dziurzynski, Kristine",  11/08/2016 - 12/31/2026,,,,Participating,
"Eagle-Bearer, Kassandra",,,,,Participating,
"Bowen, Samuel","['\xa0\xa005/15/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2024']",,,,Participating,
"Boyd, Scott","['\xa0\xa011/01/2001 - 12/31/2011'], ['\xa0\xa001/01/2012 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Brem, Steven",  09/01/1983,,,,,Not Required To Participate
